TestID;Number of Peers;With Super-Peers;Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Total Duration from tracker-peer [s]
Test34;76;true;true;6162094;50.17;0.14;29.01;186.83;12.75;35.59;187.05;33.65;64.61;11.73;0.56;3.94;3.00;0.84;1.69;195.58
Test35;76;false;true;6162094;4.92;0.16;0.48;186.81;130.38;131.48;187.03;130.55;131.97;11.26;2.99;5.59;4.46;1.31;2.08;N/A
Test36;76;false;true;6162094;0.42;0.14;0.22;186.81;130.38;131.20;187.00;130.53;131.42;9.77;3.47;5.38;4.46;1.31;2.34;N/A
Test37;76;false;true;6162094;3.48;0.18;0.32;186.75;130.39;131.36;186.99;130.58;131.69;12.05;2.88;5.80;4.46;1.31;2.38;N/A
Test38;76;false;true;6162094;3.38;0.16;0.35;186.80;130.38;131.23;187.01;130.55;131.58;7.94;2.96;5.40;4.46;1.31;2.42;N/A
Test39;51;true;;137155097;5389.49;0.14;1507.91;5978.88;90.74;4003.51;5979.04;5382.25;5511.42;;;;;;;5990.06
Test40;51;false;;137155097;0.56;0.15;0.24;2226.93;2012.94;2033.01;2227.10;2013.25;2033.25;;;;;;;2238.25
Test41;76;false;;1042157;3.52;0.16;0.33;31.97;22.10;22.59;32.31;22.26;22.93;;;;;;;39.46
Test42;6;true;;3197743;6.16;0.10;1.32;7.90;1.14;3.84;8.01;3.48;5.16;;;;;;;N/A
Test43;6;true;;3197743;6.17;0.11;1.33;7.91;1.50;3.91;8.04;3.49;5.24;;;;;;;N/A
Test44;6;true;;3197743;6.17;0.11;1.32;7.90;1.13;3.85;8.01;3.48;5.17;;;;;;;10.91
Test45;11;true;;3197743;15.56;0.11;4.12;124.51;4.81;43.40;133.83;4.93;47.52;;;;;;;137.59
Test46;11;true;;1042157;6.27;0.10;3.16;3.27;0.77;1.58;9.46;1.68;4.74;;;;;;;11.69
